dataset	ID	adj.P.Val	logFC	symbol	abs_logFC	direction
GSE62254	228654_at	0.00344	-0.198	SPIN4	0.198	Down
GSE62254	232666_at	0.00287	-0.0986	OAS3	0.0986	Down
GSE62254	49452_at	0.00328	0.179	ACACB	0.179	Up
GSE62254	219419_at	0.00347	-0.085	RBFA	0.085	Down
GSE62254	223270_at	0.00348	-0.079	CTDSPL2	0.079	Down
GSE62254	1555565_s_at	0.00335	-0.0876	TAPBP	0.0876	Down
GSE62254	222666_s_at	0.00348	-0.131	RCL1	0.131	Down
GSE62254	231940_at	0.00345	0.179	ZNF529	0.179	Up
GSE62254	202515_at	0.00338	0.129	DLG1	0.129	Up
GSE62254	221587_s_at	0.0035	-0.086	C19orf24	0.086	Down
GSE62254	226632_at	0.00342	0.127	CYGB	0.127	Up
GSE62254	205620_at	0.00275	0.123	F10	0.123	Up
GSE62254	1554019_s_at	0.0029	-0.121	CEP57L1	0.121	Down
GSE62254	202795_x_at	0.00345	0.0788	TRIOBP	0.0788	Up
GSE62254	201536_at	0.00349	0.127	DUSP3	0.127	Up
GSE62254	225452_at	0.0035	0.147	MED1	0.147	Up
GSE62254	213517_at	0.0031	0.138	PCBP2	0.138	Up
GSE62254	1556551_s_at	0.00336	-0.191	SLC39A6	0.191	Down
GSE62254	227194_at	0.00351	0.553	FAM3B	0.553	Up
GSE62254	1294_at	0.00354	-0.124	MIR5193///UBA7	0.124	Down
GSE62254	202001_s_at	0.00316	-0.0809	NDUFA6	0.0809	Down
GSE62254	209450_at	0.00354	-0.0756	OSGEP	0.0756	Down
GSE62254	1564520_s_at	0.00349	-0.11	PRMT5	0.11	Down
GSE62254	210152_at	0.00298	-0.138	LILRB4	0.138	Down
GSE62254	219997_s_at	0.00351	-0.0676	COPS7B	0.0676	Down
GSE62254	1558515_at	0.00255	0.109	FTX	0.109	Up
GSE62254	202484_s_at	0.00342	-0.0938	MBD2	0.0938	Down
GSE62254	232039_at	0.00177	0.0362	MAP10	0.0362	Up
GSE62254	215485_s_at	0.00334	-0.0748	ICAM1	0.0748	Down
GSE62254	205041_s_at	0.00306	0.432	ORM2///ORM1	0.432	Up
GSE62254	202294_at	0.00354	-0.0868	STAG1	0.0868	Down
GSE62254	201548_s_at	0.00358	0.108	KDM5B	0.108	Up
GSE62254	232796_at	0.00268	0.108		0.108	Up
GSE62254	204703_at	0.00358	0.1	IFT88	0.1	Up
GSE62254	220728_at	0.00254	0.134		0.134	Up
GSE62254	205882_x_at	0.00346	0.152	ADD3	0.152	Up
GSE62254	220421_at	0.00346	0.349	BTNL8	0.349	Up
GSE62254	208832_at	0.00361	-0.0969	ATXN10	0.0969	Down
GSE62254	236600_at	0.00268	0.191	SPG20	0.191	Up
GSE62254	225847_at	0.00353	-0.166	NCEH1	0.166	Down
GSE62254	227498_at	0.00327	0.233	SOX6	0.233	Up
GSE62254	219442_at	0.00345	0.0788	CLUHP3	0.0788	Up
GSE62254	208576_s_at	0.00249	-0.117	HIST1H3B	0.117	Down
GSE62254	218377_s_at	0.00363	-0.104	RWDD2B	0.104	Down
GSE62254	212935_at	0.00361	0.127	MCF2L	0.127	Up
GSE62254	202018_s_at	0.0036	0.55	LTF	0.55	Up
GSE62254	215954_s_at	0.00277	-0.0663	CACTIN	0.0663	Down
GSE62254	235855_at	0.00336	-0.0742	COX15	0.0742	Down
GSE62254	234747_at	0.00256	-0.0713	TRAPPC11	0.0713	Down
GSE62254	211657_at	0.00335	0.412	CEACAM6	0.412	Up
GSE62254	219469_at	0.00318	0.141	DYNC2H1	0.141	Up
GSE62254	221691_x_at	0.00304	-0.0938	NPM1	0.0938	Down
GSE62254	235493_at	0.00292	0.152		0.152	Up
GSE62254	224562_at	0.00361	0.11	WASF2	0.11	Up
GSE62254	219785_s_at	0.00356	-0.138	C16orf95	0.138	Down
GSE62254	203023_at	0.00367	-0.119	NOP16	0.119	Down
GSE62254	1552417_a_at	0.00359	-0.209	NEDD1	0.209	Down
GSE62254	235489_at	0.00282	0.191	RHOJ	0.191	Up
GSE62254	208616_s_at	0.00308	-0.058	PTP4A2	0.058	Down
GSE62254	232726_at	0.00271	0.177		0.177	Up
GSE62254	204881_s_at	0.00366	0.177	UGCG	0.177	Up
GSE62254	1560007_at	0.00245	-0.0783	LOC645984	0.0783	Down
GSE62254	217980_s_at	0.00359	-0.0911	MRPL16	0.0911	Down
GSE62254	212086_x_at	0.00365	0.112	LMNA	0.112	Up
GSE62254	217933_s_at	0.00338	-0.126	LAP3	0.126	Down
GSE62254	214753_at	0.00361	0.172	N4BP2L2	0.172	Up
GSE62254	243318_at	0.00338	0.118	DCAF8	0.118	Up
GSE62254	235732_at	0.00212	0.0591	ZNF704	0.0591	Up
GSE62254	235643_at	0.00343	-0.249	SAMD9L	0.249	Down
GSE62254	235232_at	0.00373	-0.0697	GMEB1	0.0697	Down
GSE62254	225574_at	0.00367	-0.108	RWDD4	0.108	Down
GSE62254	207660_at	0.00233	0.0533	DMD	0.0533	Up
GSE62254	215418_at	0.00282	0.103	PARVA	0.103	Up
GSE62254	216331_at	0.00335	0.11	ITGA7	0.11	Up
GSE62254	1555830_s_at	0.00304	-0.172	ESYT2	0.172	Down
GSE62254	205741_s_at	0.00242	0.0867	DTNA	0.0867	Up
GSE62254	236831_at	0.00364	0.117	CCDC50	0.117	Up
GSE62254	225383_at	0.00375	0.0921	ZNF275	0.0921	Up
GSE62254	216685_s_at	0.00364	-0.21	MTAP	0.21	Down
GSE62254	201609_x_at	0.00366	-0.0808	ICMT	0.0808	Down
GSE62254	229288_at	0.00273	0.213	EPHA7	0.213	Up
GSE62254	226636_at	0.00376	0.169	PLD1	0.169	Up
GSE62254	205894_at	0.00358	0.253	ARSE	0.253	Up
GSE62254	206761_at	0.0032	-0.165	CD96	0.165	Down
GSE62254	218399_s_at	0.00378	-0.098	CDCA4	0.098	Down
GSE62254	209487_at	0.00374	0.164	RBPMS	0.164	Up
GSE62254	203339_at	0.00375	-0.137	SLC25A12	0.137	Down
GSE62254	205978_at	0.00254	0.171	KL	0.171	Up
GSE62254	228396_at	0.00379	0.166	PRKG1	0.166	Up
GSE62254	1555214_a_at	0.00274	-0.15	CLEC7A	0.15	Down
GSE62254	219321_at	0.00378	-0.0931	MPP5	0.0931	Down
GSE62254	220856_x_at	0.00372	0.0626		0.0626	Up
GSE62254	224917_at	0.00349	0.157	MIR21///VMP1	0.157	Up
GSE62254	224285_at	0.00219	-0.0582	GPR174	0.0582	Down
GSE62254	204931_at	0.00318	0.176	TCF21	0.176	Up
GSE62254	1555390_at	0.00352	-0.08	NOP9	0.08	Down
GSE62254	207851_s_at	0.00326	-0.109	INSR	0.109	Down
GSE62254	225350_s_at	0.00378	0.0886	ZYG11B	0.0886	Up
GSE62254	222812_s_at	0.00361	-0.153	RHOF	0.153	Down
GSE62254	211245_x_at	0.00301	-0.0674	KIR2DL4	0.0674	Down
GSE62254	232007_at	0.00384	-0.155	AGPAT5	0.155	Down
GSE62254	205488_at	0.00384	-0.254	GZMA	0.254	Down
GSE62254	223170_at	0.00382	0.215	TMEM98	0.215	Up
GSE62254	243130_at	0.00261	-0.0775		0.0775	Down
GSE62254	214180_at	0.00351	0.142	MAN1C1	0.142	Up
GSE62254	1554510_s_at	0.00372	-0.115	GHITM	0.115	Down
GSE62254	201939_at	0.00384	-0.229	PLK2	0.229	Down
GSE62254	1552628_a_at	0.00385	0.0805	HERPUD2	0.0805	Up
GSE62254	220255_at	0.00388	-0.103	FANCE	0.103	Down
GSE62254	1558046_x_at	0.00285	-0.0625	LOC389906	0.0625	Down
GSE62254	1563900_at	0.00331	-0.209	FAM83B	0.209	Down
GSE62254	229114_at	0.00377	0.143	GAB1	0.143	Up
GSE62254	1553734_at	0.0032	-0.234	AK7	0.234	Down
GSE62254	200666_s_at	0.0038	-0.105	DNAJB1	0.105	Down
GSE62254	222658_s_at	0.0039	-0.102	APTX	0.102	Down
GSE62254	225459_at	0.00319	0.109	AMOTL1	0.109	Up
GSE62254	212395_s_at	0.0039	-0.082	EMC1	0.082	Down
GSE62254	223803_s_at	0.00389	-0.0899	ZCCHC10	0.0899	Down
GSE62254	227750_at	0.00389	0.2	KALRN	0.2	Up
GSE62254	213907_at	0.00367	-0.108	EEF1E1	0.108	Down
GSE62254	228868_x_at	0.0039	-0.166	CDT1	0.166	Down
GSE62254	228617_at	0.00382	-0.214	XAF1	0.214	Down
GSE62254	219972_s_at	0.00393	-0.1	PCNX4	0.1	Down
GSE62254	208894_at	0.00324	-0.224	HLA-DRA	0.224	Down
GSE62254	221987_s_at	0.00392	-0.107	TSR1	0.107	Down
GSE62254	1559957_a_at	0.00274	0.147	LOC642852	0.147	Up
GSE62254	209624_s_at	0.00393	-0.134	MCCC2	0.134	Down
GSE62254	214729_at	0.00335	-0.15	TWISTNB	0.15	Down
GSE62254	204643_s_at	0.00395	0.0994	ENOX2	0.0994	Up
GSE62254	222442_s_at	0.0039	-0.0914	ARL8B	0.0914	Down
GSE62254	210691_s_at	0.0038	-0.119	CACYBP	0.119	Down
GSE62254	231075_x_at	0.0039	0.104	ABI2	0.104	Up
GSE62254	217941_s_at	0.00378	0.126	ERBIN	0.126	Up
GSE62254	210190_at	0.00283	-0.0662	STX11	0.0662	Down
GSE62254	217815_at	0.00383	-0.0868	SUPT16H	0.0868	Down
GSE62254	217503_at	0.00361	-0.126	STK17B	0.126	Down
GSE62254	229341_at	0.00367	0.104	TFCP2L1	0.104	Up
GSE62254	1556054_at	0.00272	0.146		0.146	Up
GSE62254	215744_at	0.00335	-0.0511	FUS	0.0511	Down
GSE62254	229261_at	0.00271	0.0695	SOS1-IT1	0.0695	Up
GSE62254	203559_s_at	0.00397	0.38	AOC1	0.38	Up
GSE62254	228395_at	0.0038	-0.149	GNL3	0.149	Down
GSE62254	231173_at	0.00227	0.0584	PYROXD1	0.0584	Up
GSE62254	219978_s_at	0.00399	-0.187	NUSAP1	0.187	Down
GSE62254	227801_at	0.00399	-0.149	TRIM59	0.149	Down
GSE62254	212772_s_at	0.00374	-0.0496	ABCA2	0.0496	Down
GSE62254	221047_s_at	0.00316	0.213	MARK1	0.213	Up
GSE62254	218656_s_at	0.004	0.166	LHFP	0.166	Up
GSE62254	241682_at	0.0039	0.167	KLHL23	0.167	Up
GSE62254	231041_at	0.00308	-0.149	POLR1E	0.149	Down
GSE62254	242674_at	0.0029	-0.0816	EIF4E	0.0816	Down
GSE62254	235926_at	0.00348	0.194	ANAPC5	0.194	Up
GSE62254	211144_x_at	0.00382	-0.212	TARP///TRGV9///TRGC2	0.212	Down
GSE62254	232876_at	0.00273	0.108		0.108	Up
GSE62254	204290_s_at	0.00402	-0.143	ALDH6A1	0.143	Down
GSE62254	242809_at	0.00363	0.103	IL1RL1	0.103	Up
GSE62254	231772_x_at	0.00403	-0.154	CENPH	0.154	Down
GSE62254	222162_s_at	0.00403	0.196	ADAMTS1	0.196	Up
GSE62254	223995_at	0.00328	-0.0979	SLC12A9	0.0979	Down
GSE62254	222114_x_at	0.00367	-0.0534	WDR55	0.0534	Down
GSE62254	229153_at	0.0039	-0.0864	SLC7A6OS	0.0864	Down
GSE62254	202369_s_at	0.00401	0.11	TRAM2	0.11	Up
GSE62254	242422_at	0.00308	-0.102	G3BP1	0.102	Down
GSE62254	209296_at	0.00392	0.0684	PPM1B	0.0684	Up
GSE62254	217725_x_at	0.00383	-0.0799	SERBP1	0.0799	Down
GSE62254	226488_at	0.00402	-0.0955	RCCD1	0.0955	Down
GSE62254	205672_at	0.00405	-0.0844	XPA	0.0844	Down
GSE62254	243136_at	0.0028	-0.0792	GINS2	0.0792	Down
GSE62254	223820_at	0.00353	0.0636	RBP5	0.0636	Up
GSE62254	203775_at	0.00406	0.137	SLC25A13	0.137	Up
GSE62254	228607_at	0.00406	-0.24	OAS2	0.24	Down
GSE62254	211419_s_at	0.00304	0.141	CHN2	0.141	Up
GSE62254	221290_s_at	0.00407	-0.105	MUM1	0.105	Down
GSE62254	1557316_at	0.00274	0.0601		0.0601	Up
GSE62254	202673_at	0.0037	0.0868	DPM1	0.0868	Up
GSE62254	205347_s_at	0.00334	0.176	TMSB15B///TMSB15A	0.176	Up
GSE62254	224216_at	0.00266	-0.0768		0.0768	Down
GSE62254	220180_at	0.00408	-0.179	CCDC68	0.179	Down
GSE62254	1554176_a_at	0.00272	-0.101	C3orf33	0.101	Down
GSE62254	210999_s_at	0.00406	0.173	GRB10	0.173	Up
GSE62254	226559_at	0.00409	-0.152	IER5L	0.152	Down
GSE62254	235974_at	0.00316	-0.104	EXOC4	0.104	Down
GSE62254	235746_s_at	0.00287	0.197	PLA2R1	0.197	Up
GSE62254	215283_at	0.00398	0.135	LINC00667	0.135	Up
GSE62254	203922_s_at	0.00407	-0.198	CYBB	0.198	Down
GSE62254	218259_at	0.00407	0.0772	MKL2	0.0772	Up
GSE62254	217835_x_at	0.00344	0.0924	TGIF2-C20orf24///C20orf24	0.0924	Up
GSE62254	206324_s_at	0.00371	0.119	DAPK2	0.119	Up
GSE62254	224470_at	0.00376	-0.117	SEC22C	0.117	Down
GSE62254	201558_at	0.00397	0.125	RAE1	0.125	Up
GSE62254	233558_s_at	0.00412	-0.117	TRAPPC11	0.117	Down
GSE62254	242247_at	0.00372	-0.13	METTL15	0.13	Down
GSE62254	1552609_s_at	0.00297	-0.0403	IFNL3///IFNL2	0.0403	Down
GSE62254	239852_at	0.00316	-0.093	MMAA	0.093	Down
GSE62254	229155_at	0.00356	-0.121	GSTO2	0.121	Down
GSE62254	201114_x_at	0.00363	0.0864	PSMA7	0.0864	Up
GSE62254	235412_at	0.00228	0.0491	ARHGEF7	0.0491	Up
GSE62254	1559410_at	0.00302	0.2		0.2	Up
GSE62254	205114_s_at	0.00408	-0.34	CCL3L3///CCL3L1///CCL3	0.34	Down
GSE62254	242871_at	0.00388	0.259	PAQR5	0.259	Up
GSE62254	219873_at	0.00373	0.128	COLEC11	0.128	Up
GSE62254	209966_x_at	0.00306	0.203	ESRRG	0.203	Up
GSE62254	221434_s_at	0.00367	-0.0725	SLIRP	0.0725	Down
GSE62254	226009_at	0.00416	-0.108	DPCD	0.108	Down
GSE62254	43427_at	0.00394	0.158	ACACB	0.158	Up
GSE62254	219047_s_at	0.00359	-0.0689	ZNF668	0.0689	Down
GSE62254	214440_at	0.00407	-0.178	NAT1	0.178	Down
GSE62254	234362_s_at	0.0035	-0.118	CTLA4	0.118	Down
GSE62254	210124_x_at	0.00404	-0.1	SEMA4F	0.1	Down
GSE62254	218156_s_at	0.00417	-0.113	TSR1	0.113	Down
GSE62254	219123_at	0.00419	-0.119	ZNF232	0.119	Down
GSE62254	202778_s_at	0.00415	0.105	ZMYM2	0.105	Up
GSE62254	219764_at	0.00323	0.232	FZD10	0.232	Up
GSE62254	225006_x_at	0.00411	0.126	NELFCD	0.126	Up
GSE62254	219167_at	0.00402	0.106	RASL12	0.106	Up
GSE62254	1554290_at	0.00274	-0.0791	LOC101929134///HERC3	0.0791	Down
GSE62254	223547_at	0.00423	-0.101	JKAMP	0.101	Down
GSE62254	204135_at	0.00419	0.169	FILIP1L	0.169	Up
GSE62254	230493_at	0.00383	0.296	SHISA2	0.296	Up
GSE62254	204800_s_at	0.00405	0.12	DHRS12	0.12	Up
GSE62254	1556186_s_at	0.00422	-0.0865	EMC1	0.0865	Down
